definition,see_also,change,text_change,examples,code_2020,title_2020,code_2010,title_2010
"A program that prepares  individuals to serve as professional bakers and pastry specialists in restaurants or other commercial baking establishments.  Includes instruction in bread and pastry making, bread and pastry handling and storage, cake and pastry decorating, baking industry operations, product packaging and marketing operations, and counter display and service",None available,No Substantive Changes,None available,None available,12.0501,Baking and Pastry Arts/Baker/Pastry Chef.,12.0501,Baking and Pastry Arts/Baker/Pastry Chef.
"A program that prepares individuals to professionally prepare mixed alcoholic and non-alcoholic beverages and related products and manage bars, lounges, and beverage service operations in the hospitality industry.  Includes instruction in mixology, oenology, accounting and cash management, inventory and cellar management, bar and lounge management, applicable laws and regulations, customer service, and labor/employment regulations",None available,No Substantive Changes,None available,None available,12.0502,Bartending/Bartender.,12.0502,Bartending/Bartender.
"A program that prepares individuals to provide professional chef and related cooking services in restaurants and other commercial food establishments.  Includes instruction in recipe and menu planning, preparing and cooking of foods, supervising and training kitchen assistants, the management of food supplies and kitchen resources, aesthetics of food presentation, and familiarity or mastery of a wide variety of cuisines and culinary techniques",None available,No Substantive Changes,None available,None available,12.0503,Culinary Arts/Chef Training.,12.0503,Culinary Arts/Chef Training.
"A program that prepares individuals to plan, supervise, and manage food and beverage preparation and service operations, restaurant facilities, and catering services.  Includes instruction in food/beverage industry operations, cost control, purchasing and storage, business administration, logistics, personnel management, culinary arts, restaurant and menu planning, executive chef functions, event planning and management, health and safety, insurance, and applicable law and regulations",52.0905) Restaurant/Food Services Management.,No Substantive Changes,None available,None available,12.0504,"Restaurant, Culinary, and Catering Management/Manager.",12.0504,"Restaurant, Culinary, and Catering Management/Manager."
"A program that prepares individuals to serve under the supervision of chefs and other food service professionals as kitchen support staff and commercial food preparation workers.  Includes instruction in kitchen organization and operations, sanitation and quality control, basic food preparation and cooking skills, kitchen and kitchen equipment maintenance, and quantity food measurement and monitoring",None available,No Substantive Changes,None available,None available,12.0505,Food Preparation/Professional Cooking/Kitchen Assistant.,12.0505,Food Preparation/Professional Cooking/Kitchen Assistant.
"A program that prepares individuals to receive, cut, and package animal meat products in commercial establishments and to function as licensed meat cutters/butchers.  Includes instruction in product recognition for beef, veal, lamb, pork, poultry, and fancy and smoked meats; retail and wholesale cutting and specialty cuts; packaging and counter display; shop safety; meat sanitation, storage and rotation; quality control; meat handling laws and regulations; and customer service",None available,No Substantive Changes,None available,None available,12.0506,Meat Cutting/Meat Cutter.,12.0506,Meat Cutting/Meat Cutter.
"A program that prepares individuals to serve food to customers in formal or informal settings.  Includes instruction in the nutritional, sensory, and functional properties of food and its ingredients; food services principles; table and counter services; dining room operations and procedures; service personnel supervision and management; communication skills; business math; safety; and sanitation",None available,No Substantive Changes,None available,None available,12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager.",12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager."
"A program that prepares individuals in production and service used in governmental, commercial or independently owned institutional food establishments and related food industry occupations. Includes instruction in selecting, storing, preparing, and serving food and food products; basic nutrition; sanitation, and food safety; the use and care of commercial equipment; serving techniques; and the operation of institutional food establishments",None available,No Substantive Changes,None available,None available,12.0508,Institutional Food Workers.,12.0508,Institutional Food Workers.
"A program that focuses on the blending of food science and the culinary arts and that prepares individuals to work as research chefs and related research and development positions in the food industry. Includes instruction in culinary arts, food chemistry, food safety and quality, food processing, nutrition, and business management",01.1001) Food Science.,No Substantive Changes,None available,None available,12.0509,Culinary Science/Culinology.,12.0509,Culinary Science/Culinology.
"A program that prepares individuals to manage wine selection, purchasing, storage, sales, and service for a variety of establishments in the hospitality industry. Includes instruction in wine production, wine regions of the world, wine tasting, food and wine matching, service techniques, and wine program management",None available,No Substantive Changes,None available,None available,12.0510,Wine Steward/Sommelier.,12.0510,Wine Steward/Sommelier.
Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting,None available,New,None available,None available,12.0580,Reserved.,,
Any instructional program in culinary arts and related services not listed above,None available,No Substantive Changes,None available,None available,12.0599,"Culinary Arts and Related Services, Other.",12.0599,"Culinary Arts and Related Services, Other."
Instructional content for this group of programs is defined in codes 12.0601 - 12.0699,None available,New,None available,None available,12.06,Casino Operations and Services.,,
"A program that focuses on casino operations and services. Includes instruction in casino operations, casino security and surveillance, casino dealing, principles of the gaming industry, ethics, and gaming law",52.0908) Casino Management.,New,None available,None available,12.0601,"Casino Operations and Services, General.",,
"A program of study that prepares individuals to apply technical skills and knowledge to become table games dealers in casinos or other recreational settings. Includes instruction in dealing techniques for Baccarat, Blackjack, Carnival Games, Craps, Poker, and Roulette",52.0908) Casino Management.,New,None available,None available,12.0602,Casino Dealing.,,
Any instructional program in casino operations and services not listed above,None available,New,None available,None available,12.0699,"Casino Operations and Services, Other.",,
Instructional content is defined in code 12.9999,None available,No Substantive Changes,None available,None available,12.99,"Culinary, Entertainment, and Personal Services, Other.",12.99,"Personal and Culinary Services, Other."
"Any instructional program in culinary, entertainment, and personal services not listed above",None available,No Substantive Changes,None available,None available,12.9999,"Culinary, Entertainment, and Personal Services, Other.",12.9999,"Personal and Culinary Services, Other."
"Instructional programs that focus on the theory and practice of learning and teaching, and related research, administrative and support services",None available,No Substantive Changes,None available,None available,13,EDUCATION.,13,EDUCATION.
Instructional content is defined in code 13.0101,None available,No Substantive Changes,None available,None available,13.01,"Education, General.",13.01,"Education, General."
"A program that focuses on the general theory and practice of learning and teaching, the basic principles of educational psychology, the art of teaching, the planning and administration of educational activities, school safety and health issues, and the social foundations of education",None available,No Substantive Changes,None available,None available,13.0101,"Education, General.",13.0101,"Education, General."
Instructional content for this group of programs is defined in codes 13.0201 - 13.0299,None available,No Substantive Changes,None available,None available,13.02,"Bilingual, Multilingual, and Multicultural Education.",13.02,"Bilingual, Multilingual, and Multicultural Education."
"A program that focuses on the design and provision of teaching and other educational services to bilingual/bicultural children or adults, and/or the design and implementation of educational programs having the goal of producing bilingual/bicultural individuals.  Includes preparation to serve as teachers and administrators in bilingual/bicultural education programs",13.1401) Teaching English as a Second or Foreign Language/ESL Language Instructor.,No Substantive Changes,None available,None available,13.0201,Bilingual and Multilingual Education.,13.0201,Bilingual and Multilingual Education.
"A program that focuses on the design, and implementation of instructional and advising services for culturally diverse learning populations.  Includes instruction in cultural diversity, at-risk populations, multilingual and ESL education, program and curriculum design, instructional technology, information resources, LEP and minority education strategies, counseling and communicating with multicultural populations, law and regulations, and applications to specific cultural groups, educational services, and research issues",13.1401) Teaching English as a Second or Foreign Language/ESL Language Instructor.,No Substantive Changes,None available,None available,13.0202,Multicultural Education.,13.0202,Multicultural Education.
"A program that focuses on the design and implementation of instructional and advising services for American Indian, Alaska Native, and Hawaiian Native students at various learning levels and that prepares individuals to perform teaching and administrative functions in Tribal/First Nation schools.  Includes instruction in the cultural traditions and social patterns, history and politics, learning styles and issues, curriculum design, LEP and minority education strategies, counseling techniques and social issues, rural education services, distance education, adult education techniques, school administration, applicable laws and regulations, and research issues",None available,No Substantive Changes,None available,None available,13.0203,Indian/Native American Education.,13.0203,Indian/Native American Education.
"Any instructional program in bilingual, multilingual, and multicultural Education not listed above",None available,No Substantive Changes,None available,None available,13.0299,"Bilingual, Multilingual, and Multicultural Education, Other.",13.0299,"Bilingual, Multilingual, and Multicultural Education, Other."
Instructional content is defined in code 13.0301,None available,No Substantive Changes,None available,None available,13.03,Curriculum and Instruction.,13.03,Curriculum and Instruction.
"A program that focuses on the curriculum and related instructional processes and tools, and that may prepare individuals to serve as professional curriculum specialists.  Includes instruction in curriculum theory, curriculum design and planning, instructional material design and evaluation, curriculum evaluation, and applications to specific subject matter, programs or educational levels",None available,No Substantive Changes,None available,[Effective Teaching],13.0301,Curriculum and Instruction.,13.0301,Curriculum and Instruction.
Instructional content for this group of programs is defined in codes 13.0401 - 13.0499,None available,No Substantive Changes,None available,None available,13.04,Educational Administration and Supervision.,13.04,Educational Administration and Supervision.
"A  program that focuses on the general principles and techniques of administering a wide variety of schools and other educational organizations and facilities, supervising educational personnel at the school or staff level, and that may prepare individuals as general administrators and supervisors",None available,No Substantive Changes,None available,[Educational Leadership and Policy]:::::[Educational Administration and Policy]:::::[K-12 Educational Leadership]:::::[K-12 Educational Administration]:::::[School Business Management],13.0401,"Educational Leadership and Administration, General.",13.0401,"Educational Leadership and Administration, General."
"A program that prepares individuals to plan, supervise, and manage programs for exceptional students and their parents.  Includes instruction in special education theory and practice, special education program development, evaluation and assessment in special education, state and federal law and regulations, managing individual education plans, problems of low- and high- disability students, mainstreaming, special education curricula, staff management, parent education, communications and community relations, budgeting, and professional standards and ethics",None available,No Substantive Changes,None available,None available,13.0402,Administration of Special Education.,13.0402,Administration of Special Education.
"A program  that focuses on the principles and techniques of administering programs and facilities designed to serve the basic education needs of undereducated adults, or the continuing education needs of adults seeking further or specialized instruction, and that prepares individuals to serve as administrators of such programs.  Includes instruction in adult education principles, program and facilities planning, personnel management, community and client relations, budgeting and administration, professional standards, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.0403,Adult and Continuing Education Administration.,13.0403,Adult and Continuing Education Administration.
"A program that prepares individuals to supervise instructional and support personnel at the school building, facility or staff level.  Includes instruction in the principles of staffing and organization, the supervision of learning activities, personnel relations, administrative duties related to departmental or unit management, and specific applications to various educational settings and curricula",None available,No Substantive Changes,None available,None available,13.0404,"Educational, Instructional, and Curriculum Supervision.",13.0404,"Educational, Instructional, and Curriculum Supervision."
"A program that focuses on the principles and practice of administration in four-year colleges, universities and higher education systems, the study of higher education as an object of applied research, and which may prepare individuals to function as administrators in such settings.  Includes instruction in higher education economics and finance; policy and planning studies; curriculum; faculty and labor relations; higher education law; college student services; research on higher education; institutional research; marketing and promotion; and issues of evaluation, accountability and philosophy",13.1102) College Student Counseling and Personnel Services.,No Substantive Changes,None available,[Higher Education Policy],13.0406,Higher Education/Higher Education Administration.,13.0406,Higher Education/Higher Education Administration.
"A program that focuses on the principles and techniques of administering community and junior colleges and related postsecondary systems, the study of community and junior colleges as objects of applied research, and that may prepare individuals to function as administrators in such settings.  Includes instruction in community and junior college finance; policy and planning studies; curriculum; faculty and labor relations; higher education law; student services; research on community and junior colleges; institutional research; marketing and promotion; and issues of evaluation, accountability and philosophy",None available,No Substantive Changes,None available,[Community College Leadership]:::::[Community College Education],13.0407,Community College Administration.,13.0407,Community College Education.
"A program that focuses on educational administration at the elementary and middle school (K-7) levels and prepares individuals to serve as principals and masters of elementary and middle schools.  Includes instruction in elementary and/or middle school education, program and facilities planning, budgeting and administration, public relations, human resources management, childhood and pre-adolescent growth and development, counseling skills, applicable law and regulations, school safety, policy studies, and professional standards and ethics",None available,No Substantive Changes,None available,None available,13.0408,Elementary and Middle School Administration/Principalship.,13.0408,Elementary and Middle School Administration/Principalship.
"A program that focuses on educational administration at the junior high, secondary, or senior high school (7-12) levels and prepares individuals to serve as principals and masters of secondary schools.  Includes instruction in secondary school education, program and facilities planning, budgeting and administration, public relations, human resources management, adolescent growth and development, counseling skills, applicable law and regulations, school safety, policy studies, and professional standards and ethics",None available,No Substantive Changes,None available,None available,13.0409,Secondary School Administration/Principalship.,13.0409,Secondary School Administration/Principalship.
"A program that focuses on issues and problems specific to the educational needs of populations and communities located in metropolitan, inner city, and related areas and prepares individuals to provide educational services and administrative leadership in urban contexts.  Includes instruction in multicultural education, at-risk studies, urban sociology, multilingual education, urban studies and planning, human services, health services and nutrition, cross-cultural communication, diversity studies, safety and security, and urban educational administration and leadership",None available,No Substantive Changes,None available,None available,13.0410,Urban Education and Leadership.,13.0410,Urban Education and Leadership.
"A program that focuses on leading and managing multi-school educational systems and school districts and prepares individuals to serve as systems administrators and district superintendents.  Includes instruction in educational administration; education of students at various levels; system planning and budgeting; educational policy; educational law and regulations; public relations; professional standards and ethics; and applications to specific issues, cultural context, and geographic locales",None available,No Substantive Changes,None available,None available,13.0411,Superintendency and Educational System Administration.,13.0411,Superintendency and Educational System Administration.
"A program that focuses on the principles and practice of administration in international schools, the study of international education as an object of applied research, and which may prepare individuals to function as administrators in such settings. Includes instruction in culture in the classroom, educational leadership, globalization, instructional design and technology, international research methods, evaluation, and education policy",None available,New,None available,None available,13.0412,International School Administration/Leadership.,,
"A program that prepares individuals to create, fund, and manage innovations in education. Includes instruction in philanthropy, business modeling, the design of learning environments, the economics of education, entrepreneurship, evaluation, finance, human-centered design, investing, resource management, project management, and marketing",52.0704) Social Entrepreneurship.,New,None available,[Education Innovation],13.0413,Education Entrepreneurship.,,
"A program that focuses on early childhood educational program administration and prepares individuals to serve as a principal or director of an early childhood educational program. Includes instruction in early childhood education, program and facilities planning, budgeting and administration, public relations, human resources management, early childhood growth and development, counseling skills, applicable law and regulations, school safety, policy studies, and professional standards and ethics",None available,New,None available,None available,13.0414,Early Childhood Program Administration.,,
Any instructional program in education administration and supervision not listed above,None available,No Substantive Changes,None available,None available,13.0499,"Educational Administration and Supervision, Other.",13.0499,"Educational Administration and Supervision, Other."
Instructional content is defined in code 13.0501,None available,No Substantive Changes,None available,None available,13.05,Educational/Instructional Media Design.,13.05,Educational/Instructional Media Design.
"A program that focuses on integrating technology into educational curricula. Includes instruction in foundations of educational technology, computer applications, utilizing technology for assessment, multimedia instruction, web-based instruction, distance education, and designing and producing educational software and materials",None available,No Substantive Changes,None available,[Advanced Learning Technologies],13.0501,Educational/Instructional Technology.,13.0501,Educational/Instructional Technology.
Instructional content for this group of programs is defined in codes 13.0601 - 13.0699,None available,No Substantive Changes,None available,None available,13.06,"Educational Assessment, Evaluation, and Research.",13.06,"Educational Assessment, Evaluation, and Research."
"A program that focuses on the principles and procedures for generating information about educational programs, personnel and methods, and the analysis of such information for planning purposes.  Includes instruction in evaluation theory, evaluation research design and planning, administering evaluations and related data collection activities, data reporting requirements, data analysis and interpretation, and related economic and policy issues",None available,No Substantive Changes,None available,None available,13.0601,Educational Evaluation and Research.,13.0601,Educational Evaluation and Research.
"A program that focuses on the application of statistics to the analysis and solution of educational research problems, and the development of technical designs for research studies.  Includes instruction in mathematical statistics, research design, computer applications, instrument design, research methodologies, and applications to research problems in specific education subjects","27.0501) Statistics, General., 45.0102) Research Methodology and Quantitative Methods.",No Substantive Changes,None available,None available,13.0603,Educational Statistics and Research Methods.,13.0603,Educational Statistics and Research Methods.
"A program that focuses on the principles and procedures for designing, developing, implementing and evaluating tests and other mechanisms used to measure learning, evaluate student progress, and assess the performance of specific teaching tools, strategies and curricula.  Includes instruction in psychometric measurement, instrument design, test implementation techniques, research evaluation, data reporting requirements, and data analysis and interpretation",None available,No Substantive Changes,None available,None available,13.0604,"Educational Assessment, Testing, and Measurement.",13.0604,"Educational Assessment, Testing, and Measurement."
"A program that focuses on the multiple aspects of learning in different environments, including specific aspects of the content to be mastered, cognitive aspects of the student, the instructional environment and materials, the preparation and activities of the instructor, socio-cultural and linguistic components, and assessment outcomes. Includes instruction in the social, organizational, and cultural dynamics of learning; learning and cognition; learning strategies; educational psychology; educational testing and measurement; instructional design and technology; and statistical design of educational research",None available,No Substantive Changes,None available,[Learning Sciences Research]:::::[Learning Sciences and Policy],13.0607,Learning Sciences.,13.0607,Learning Sciences.
"A program of study that prepares an individual to be an institutional researcher at a postsecondary educational institution. Includes instruction in data analysis, data-driven decision-making, data mining, higher education administration and organization, research methods, and statistics",None available,New,None available,None available,13.0608,Institutional Research.,,
"Any instructional program in educational evaluation, research and statistics not listed above",None available,No Substantive Changes,None available,None available,13.0699,"Educational Assessment, Evaluation, and Research, Other.",13.0699,"Educational Assessment, Evaluation, and Research, Other."
Instructional content is defined in code 13.0701,None available,No Substantive Changes,None available,None available,13.07,International and Comparative Education.,13.07,International and Comparative Education.
"A program that focuses on the educational phenomena, practices, and institutions within different societies and states in a comparative perspective, and the study of international educational issues. Includes instruction in comparative research methods, country- or area-specific studies, cross-national studies of learning and teaching styles, international educational policy and development, and analyses of educational migration patterns and experiences",None available,No Substantive Changes,None available,None available,13.0701,International and Comparative Education.,13.0701,International and Comparative Education.
Instructional content is defined in code 13.0901,None available,No Substantive Changes,None available,None available,13.09,Social and Philosophical Foundations of Education.,13.09,Social and Philosophical Foundations of Education.
"A program that focuses on the systematic study of education as a social and cultural institution, and the educational process as an object of humanistic inquiry.  Includes instruction in such subjects as the philosophy of education, history of education, educational literature, educational anthropology, sociology of education, economics and politics of education, educational policy studies, and studies of education in relation to specific populations, issues, social phenomena, and types of work",None available,No Substantive Changes,None available,None available,13.0901,Social and Philosophical Foundations of Education.,13.0901,Social and Philosophical Foundations of Education.
Instructional content for this group of programs is defined in codes 13.1001 - 13.1099,None available,No Substantive Changes,None available,None available,13.10,Special Education and Teaching.,13.10,Special Education and Teaching.
"A general program that focuses on the design and provision of teaching and other educational services to children or adults with special learning needs or disabilities, and that may prepare individuals to function as special education teachers in a collaborative or team environment.  Includes instruction in diagnosing learning disabilities, developing individual education plans, teaching and supervising special education students, special education counseling, and applicable laws and policies",None available,No Substantive Changes,None available,[Special Education Collaborative Teacher/Teaching],13.1001,"Special Education and Teaching, General.",13.1001,"Special Education and Teaching, General."
"A program that focuses on the design of educational services for children or adults with hearing impairments including deafness which adversely affect their educational performance, and that may prepare individuals to teach such students.  Includes instruction in identifying students with hearing impairments, including deafness, developing individual education plans, teaching and supervising hearing-impaired students, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness.,13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness.
"A program that focuses on the design of educational services for children or adults exhibiting exceptional intellectual, psychomotor or artistic talent or potential, or who exhibit exceptional maturity or social leadership talents, and that may prepare individuals to teach such students.  Includes instruction in identifying gifted and talented students, developing individual education plans, teaching and supervising gifted and talented students, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1004,Education/Teaching of the Gifted and Talented.,13.1004,Education/Teaching of the Gifted and Talented.
"A program that focuses on the design of educational services for children or adults with emotional conditions which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with emotional disturbances, developing individual education plans, teaching and supervising individuals with emotional disturbances, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1005,Education/Teaching of Individuals with Emotional Disturbances.,13.1005,Education/Teaching of Individuals with Emotional Disturbances.
"A program that focuses on the design of educational services for children or adults with intellectual disabilities which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with intellectual disabilities, developing individual education plans, teaching and supervising mentally handicapped students, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1006,Education/Teaching of Individuals with Intellectual Disabilities.,13.1006,Education/Teaching of Individuals with Mental Retardation.
"A program that focuses on the design of educational services for children or adults with multiple disabilities which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with multiple disabilities, developing individual education plans, teaching and supervising students with multiple handicaps, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1007,Education/Teaching of Individuals with Multiple Disabilities.,13.1007,Education/Teaching of Individuals with Multiple Disabilities.
"A program that focuses on the design of educational services for children or adults with orthopedic and other health impairments which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying physically disabled students, developing individual education plans, teaching and supervising students with orthopedic and other health impairments, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.,13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.
"A program that focuses on the design of educational services for children or adults with visual disabilities which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with visual impairments, developing individual education plans, teaching and supervising blind or visually handicapped students, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness.,13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness.
"A program that focuses on the design of educational services for children or adults with specific learning disabilities which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with specific learning disabilities, developing individual education plans, teaching and supervising students with specific learning disabilities, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1011,Education/Teaching of Individuals with Specific Learning Disabilities.,13.1011,Education/Teaching of Individuals with Specific Learning Disabilities.
"A program that focuses on the study and design of educational services for children or adults with speech and language impairments which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with speech and language impairments, developing individual education plans, teaching and supervising students with speech disabilities, counseling, and applicable laws and policies",51.0816) Speech-Language Pathology Assistant.,No Substantive Changes,None available,None available,13.1012,Education/Teaching of Individuals with Speech or Language Impairments.,13.1012,Education/Teaching of Individuals with Speech or Language Impairments.
"A program that focuses on the design of educational services for children or adults with autism, and that prepares individuals to teach such students.  Includes instruction in identifying students with autism, developing individual education plans, teaching and supervising autistic students, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1013,Education/Teaching of Individuals with Autism.,13.1013,Education/Teaching of Individuals with Autism.
"A program that focuses on the design of educational services for children or adults who exhibit slow social, physical, cognitive, or emotional growth patterns related to age, or a combination of such factors that affect learning, and that prepares individuals to teach such students.  Includes instruction in identification of developmental delay patterns, developing individual education plans, teaching and supervising developmentally delayed students, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1014,Education/Teaching of Individuals Who are Developmentally Delayed.,13.1014,Education/Teaching of Individuals Who are Developmentally Delayed.
"A program that focuses on the design and provision of teaching and other educational services to infant and pre-school age children with special learning needs or disabilities, and that prepares individuals to teach such students.  Includes instruction in diagnosing learning disabilities, developing individual education plans, teaching and supervising special education students, special education counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs.,13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs.
"A program that focuses on the design of educational services for children or adults who are surviving and recovering from brain and brain stem injuries affecting their cognitive, perceptive, and motor functions.  Includes instruction in  neurophysiology and neuropathology; speech, other sensory, and motor pathologies; emotional and cognitive disabilities; physical and occupational rehabilitation techniques; developing individual education plans, teaching and supervising brain-injured students, counseling, and applicable laws and policies",None available,No Substantive Changes,None available,None available,13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries.,13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries.
"A program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the elementary grades. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for elementary special education; and teaching elementary education subject matter",None available,No Substantive Changes,None available,None available,13.1017,Education/Teaching of Individuals in Elementary Special Education Programs.,13.1017,Education/Teaching of Individuals in Elementary Special Education Programs.
"A program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in junior high/middle school. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for middle school special education; and principles of middle school instruction in specific subjects",None available,No Substantive Changes,None available,None available,13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.,13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.
"A program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the secondary grades. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for secondary grades special education; content, methods, and modifications in specific subject areas; issues in vocational education; and promoting successful transitions to postsecondary settings",None available,No Substantive Changes,None available,None available,13.1019,Education/Teaching of Individuals in Secondary Special Education Programs.,13.1019,Education/Teaching of Individuals in Secondary Special Education Programs.
Any instructional program in special education not listed above,None available,No Substantive Changes,None available,None available,13.1099,"Special Education and Teaching, Other.",13.1099,"Special Education and Teaching, Other."
Instructional content for this group of programs is defined in codes 13.1101 - 13.1199,None available,No Substantive Changes,None available,None available,13.11,Student Counseling and Personnel Services.,13.11,Student Counseling and Personnel Services.
"A program that prepares individuals to apply the theory and principles of guidance and counseling to the provision of support for the personal, social, educational, and vocational development of students, and the organizing of guidance services within elementary, middle and secondary educational institutions.  Includes instruction in legal and professional requirements, therapeutic counselor intervention, vocational counseling, and related sociological and psychological foundations",42.2805) School Psychology.,No Substantive Changes,None available,None available,13.1101,Counselor Education/School Counseling and Guidance Services.,13.1101,Counselor Education/School Counseling and Guidance Services.
"A program that focuses on the organization and provision of counseling, referral, assistance and administrative services to students in postsecondary educational institutions and adult education facilities, and that may prepare individuals to function as professional counselors in such settings.  Includes instruction in applicable laws and policies, residential counseling and services, vocational counseling and placement services, remedial skills counseling, and therapeutic counselor intervention",None available,No Substantive Changes,None available,None available,13.1102,College Student Counseling and Personnel Services.,13.1102,College Student Counseling and Personnel Services.
Any instructional program in student counseling and personnel services not listed above,None available,No Substantive Changes,None available,None available,13.1199,"Student Counseling and Personnel Services, Other.",13.1199,"Student Counseling and Personnel Services, Other."
Instructional content for this group of programs is defined in codes 13.1201 - 13.1299,None available,No Substantive Changes,None available,None available,13.12,"Teacher Education and Professional Development, Specific Levels and Methods.",13.12,"Teacher Education and Professional Development, Specific Levels and Methods."
"A program that prepares individuals to teach adult students in various settings, including basic and remedial education programs, continuing education programs, and programs designed to develop or upgrade specific employment-related knowledge and skills",None available,No Substantive Changes,None available,[Workforce Training and Development Instruction],13.1201,Adult and Continuing Education and Teaching.,13.1201,Adult and Continuing Education and Teaching.
"A program that prepares individuals to teach students in the elementary grades, which may include kindergarten through grade eight, depending on the school system or state regulations.  Includes preparation to teach all elementary education subject matter",None available,No Substantive Changes,None available,None available,13.1202,Elementary Education and Teaching.,13.1202,Elementary Education and Teaching.
"A program that prepares individuals to teach students in the middle, intermediate or junior high grades, which may include grades four through nine by regulation",None available,No Substantive Changes,None available,None available,13.1203,Junior High/Intermediate/Middle School Education and Teaching.,13.1203,Junior High/Intermediate/Middle School Education and Teaching.
"A program that prepares individuals to teach students in the secondary grades, which may include grades seven through twelve, depending on the school system or state regulations.  May include preparation to teach a comprehensive curriculum or specific subject matter",None available,No Substantive Changes,None available,None available,13.1205,Secondary Education and Teaching.,13.1205,Secondary Education and Teaching.
"A program that prepares individuals to teach students at more than one educational level, such as a combined program in elementary/secondary, early childhood/elementary, elementary/middle school, or junior high/high school teacher education",None available,No Substantive Changes,None available,None available,13.1206,"Teacher Education, Multiple Levels.",13.1206,"Teacher Education, Multiple Levels."
A program that prepares individuals to teach students at various grade levels according to the pedagogical principles and methods developed by Maria Montessori and her followers,None available,No Substantive Changes,None available,None available,13.1207,Montessori Teacher Education.,13.1207,Montessori Teacher Education.
A program that prepares individuals to teach students at various grade levels according to the pedagogical principles and methods developed by Rudolf Steiner and his followers,None available,No Substantive Changes,None available,None available,13.1208,Waldorf/Steiner Teacher Education.,13.1208,Waldorf/Steiner Teacher Education.
"A program that prepares individuals to teach students in formal settings prior to beginning regular elementary school, usually ranging in age from three to six years (or grade one), depending on the school system or state regulations.  Includes preparation to teach all relevant subject matter",None available,No Substantive Changes,None available,None available,13.1209,Kindergarten/Preschool Education and Teaching.,13.1209,Kindergarten/Preschool Education and Teaching.
